var1;var2;var3;var4;var5
2;0.031615534024721975;3.8094300769811493;6.09;7200.0
2;-0.000552551962807006;3.697720236769218;12.46;7200.0
3;0.058932850312763824;3.8790946002412188;17.79;72800.0
2;0.00024251445890297;3.7937650472431375;32.07;16800.0
1;82.69979601723169;3.969102566532944;30.31;84800.0
2;0.011611675889994656;3.2441551553082815;18.1;8800.0
3;0.01546420492453915;3.073303192638047;35.11;6400.0
3;0.0;3.256722956393188;46.03;11200.0
3;-0.0011056909991418512;3.735501799611647;17.8;32000.0
2;-6.370753262920099e-05;3.6187562266475215;6.94;12800.0
2;0.000129535083348161;4.38386628900941;74.25;3379200.0
2;-0.000953334785021371;3.526486315037462;17.07;19200.0
2;0.002779206732918905;3.5474590870919394;7.09;12800.0
3;-0.06840359771082234;3.9871802162081824;41.65;36640.0
2;-0.020409725711760415;3.694593010791023;70.17;12000.0
2;-0.000414298858196606;3.6224858468276597;21.06;8000.0
3;4.779412435392539;3.67768870906778;4.7;4480.0
2;-0.001150365456283524;3.8238068060264103;18.97;16000.0
2;-0.02826070896317026;3.9455264724263253;11.81;125920.0
2;-0.16611538126015296;3.6834684123902437;14.5;7200.0
1;-0.12775110474151105;3.526093689991861;90.12;451200.0
1;-4.9596162702281e-05;3.729137595850615;19.33;9600.0
2;-0.0051075733941223925;3.632461053023517;46.34;8800.0
2;-9.7093000225356e-05;3.5181330648083264;55.11;98400.0
1;0.001686240866281277;3.7077398446728265;17.13;336000.0
4;-0.000214996897532273;3.525817423682687;8.79;9600.0
6;0.001668781632375313;3.622462137368486;22.36;2000.0
1;0.005105714515876608;4.1860660306472575;32.87;372000.0
3;-1.2803181114096e-05;3.978557989380817;54.7;20000.0
1;0.008180656810779265;5.117935330648343;120.55;1120000.0
2;0.003306218826702777;3.6050795818808377;6.96;132000.0
2;0.000839191485848872;3.5967024541240793;35.93;4480.0
4;-12.009530063039975;3.5787728119739484;12.64;1952.0
1;-0.00026555398751049403;4.4655115340690825;66.12;3800000.0
1;-0.17560177841075802;3.634485499009879;43.69;12800.0
3;-0.006780030975534367;3.843412467809112;9.33;16000.0
2;-0.0026956933704643583;3.528904570566408;14.68;14400.0
2;0.001046797705126425;3.6615590891871213;49.52;4800.0
2;-0.002448818901352043;3.7560507412618556;41.5;20000.0
4;0.000513542939255287;3.879229401261401;65.01;11680.0
1;-0.001494148669549598;3.759814723695126;54.29;8000.0
3;-0.005705112231329345;3.714041584793038;7.21;17600.0
2;0.006477071986029758;3.987674602443221;30.63;16800.0
2;0.000307027682498673;3.5934851952577467;3.93;35200.0
2;0.000994558447551745;3.5961172174769636;11.43;43200.0
1;-0.030238490539029054;3.759471717583255;7.81;64000.0
1;0.006017386100244385;3.6890574428793315;20.12;38400.0
3;0.011263754457576434;3.6570614890130866;16.98;24640.0
2;-0.21053892295688548;3.7798138724657337;23.66;6400.0
4;5.8764626690792e-05;3.509713228834374;2.68;12800.0
2;-0.000156532673355751;3.688740426652353;16.28;31200.0
2;5.219228929055212;4.925927620195819;60.63;176000.0
2;-0.0008034259535447941;3.637104576866871;43.45;80640.0
2;-0.00346780025854611;3.5700024024080177;30.43;32000.0
2;0.000106300637389012;3.609957291588964;60.76;48000.0
2;-2.4525133895282e-05;3.7305849013997783;28.34;16000.0
3;-0.05139893187532106;3.896296059390764;20.88;35200.0
2;5.0642464157106e-05;3.5162334657928254;19.77;36000.0
2;-0.012619590954031928;3.822122524993455;66.85;273600.0
2;-0.02005869144750851;3.1525270056596133;24.44;2400.0
1;-27.912845728527444;3.9933938240330407;58.77;995200.0
1;7.6671372272278e-05;3.695721618213769;29.27;7200.0
1;0.00177387531109123;4.040348749447575;76.35;336000.0
2;-0.000159569507313904;3.6558521202328165;24.71;25600.0
1;-32.236855135315274;3.622094683962676;3.81;6400.0
1;0.0045155828180257875;3.887798528032091;57.05;24000.0
1;7.763415351011863;3.851836075803461;64.9;57600.0
2;0.0020731938357272687;3.6017330031709505;66.07;22400.0
2;-0.001457572789589299;3.8994732769440232;34.69;43200.0
1;-0.0008106662604567189;3.5890127705021744;59.4;16000.0
2;-8.644997659088e-05;3.651804352592048;6.81;20160.0
2;-24.82251737656863;2.994524398536667;44.53;40000.0
2;1.3743042639342642;3.549616099941727;63.85;14400.0
3;-0.002022905428496877;3.850460288339766;50.92;17920.0
2;-0.004319154480267436;3.42741352181878;36.88;12000.0
4;-0.007588562029486244;3.5758861482647464;2.71;2720.0
3;0.059074833554265876;3.558251507502768;60.03;33600.0
2;0.795501405993362;3.8037131489219718;19.27;28800.0
1;0.0;3.525210069937408;15.98;14400.0
3;0.001570489057849375;3.4595640207087484;61.13;32000.0
1;-0.004319620729249658;4.000919759357516;26.91;48000.0
2;-9.3528488272509e-05;3.765979782698347;41.73;10400.0
2;-0.000999679304809395;3.809935716150409;6.21;16000.0
